Time(S), Latitude, Longitude, CM_D2L, ODO_D2L, New_Lat, New_lon
,,,,,,
121.077,47.67094,10.412274,0.834032,0.825,47.670979,10.412317
121.177,47.670948,10.41227,0.837474,0.837,47.670979,10.412317
121.277,47.670956,10.412265,0.841318,0.849,47.67099,10.412312
121.377,47.670959,10.412261,0.845451,0.855,47.670998,10.412306
121.477,47.670967,10.412256,0.849768,0.867,47.671005,10.4123
121.577,47.670975,10.412252,0.854163,0.873,47.671013,10.412294
121.677,47.670979,10.412248,0.858525,0.885,47.671013,10.412294
121.777,47.670986,10.412243,0.862803,0.897,47.671021,10.412289
121.877,47.670994,10.412239,0.867237,0.909,47.671028,10.412283
121.977,47.670998,10.412234,0.871853,0.921,47.671036,10.412277
122.077,47.671005,10.41223,0.876632,0.933,47.671036,10.412277
122.177,47.671009,10.412226,0.881554,0.945,47.671043,10.412271
122.277,47.671017,10.412221,0.886595,0.957,47.671055,10.412266
122.377,47.671024,10.412217,0.891741,0.969,47.671062,10.41226
122.477,47.671028,10.412212,0.89697,0.981,47.671062,10.41226
122.577,47.671036,10.412208,0.90226,0.993,47.67107,10.412253
122.677,47.671043,10.412204,0.907597,1.005,47.671078,10.412248
122.777,47.671047,10.412199,0.91296,1.017,47.671085,10.412242
122.877,47.671055,10.412194,0.918429,1.029,47.671093,10.412236
122.977,47.671062,10.41219,0.92403,1.041,47.671093,10.412236
123.077,47.671066,10.412186,0.929732,1.053,47.671101,10.41223
123.177,47.671074,10.412181,0.935509,1.071,47.671108,10.412225
123.277,47.671078,10.412177,0.941333,1.077,47.671108,10.412225
123.377,47.671085,10.412172,0.947177,1.077,47.67112,10.412219
123.477,47.671093,10.412168,0.953015,1.077,47.671127,10.412212
123.577,47.671097,10.412164,0.958819,1.077,47.671135,10.412207
123.677,47.671104,10.412159,0.964562,1.083,47.671143,10.412201
123.777,47.671112,10.412154,0.970218,1.083,47.67115,10.412195
123.877,47.671116,10.41215,0.97576,1.077,47.67115,10.412195
123.977,47.671124,10.412146,0.981185,1.077,47.671158,10.412189
124.077,47.671131,10.412141,0.98654,1.083,47.671165,10.412183
124.177,47.671135,10.412137,0.991874,1.089,47.671173,10.412177
124.277,47.671143,10.412132,0.997233,1.095,47.671173,10.412177
124.377,47.671146,10.412127,1.002662,1.095,47.671185,10.412171
124.477,47.671154,10.412123,1.008132,1.095,47.671192,10.412166
124.577,47.671162,10.412119,1.013674,1.095,47.6712,10.41216
124.677,47.671165,10.412114,1.019338,1.095,47.6712,10.41216
124.777,47.671173,10.412109,1.025176,1.095,47.671207,10.412153
124.877,47.671181,10.412106,1.031269,1.095,47.671215,10.412148
124.977,47.671185,10.412101,1.037571,1.089,47.671223,10.412142
125.077,47.671192,10.412096,1.043987,1.089,47.67123,10.412136
125.177,47.6712,10.412091,1.05041,1.089,47.67123,10.412135
125.277,47.671204,10.412087,1.056733,1.089,47.671238,10.412129
125.377,47.671211,10.412083,1.062855,1.095,47.671246,10.412124
125.477,47.671215,10.412078,1.068676,1.095,47.671246,10.412124
125.577,47.671223,10.412073,1.07405,1.101,47.671257,10.412118
125.677,47.67123,10.412069,1.078337,1.107,47.671265,10.412111
125.777,47.671234,10.412065,1.081491,1.113,47.671272,10.412106
125.877,47.671242,10.41206,1.08368,1.119,47.67128,10.4121
125.977,47.671249,10.412055,1.085072,1.125,47.671288,10.412094
126.077,47.671253,10.41205,1.085827,1.125,47.671288,10.412094
126.177,47.671261,10.412046,1.08612,1.137,47.671295,10.412087
126.277,47.671268,10.412042,1.086118,1.155,47.671303,10.412082
126.377,47.671272,10.412037,1.085989,1.167,47.67131,10.412076
126.477,47.67128,10.412032,1.085901,1.179,47.67131,10.412076
126.577,47.671284,10.412027,1.08602,1.191,47.671318,10.41207
126.677,47.671291,10.412024,1.086266,1.185,47.671329,10.412064
126.777,47.671299,10.412019,1.085814,1.179,47.671337,10.412058
126.877,47.671303,10.412014,1.083131,1.185,47.671337,10.412058
126.977,47.67131,10.412009,1.079573,1.185,47.671345,10.412052
127.077,47.671318,10.412004,1.077232,1.179,47.671352,10.412046
127.177,47.671322,10.412,1.078181,1.173,47.67136,10.41204
127.277,47.671329,10.411996,1.0813,1.161,47.671368,10.412034
127.377,47.671333,10.411991,1.084761,1.149,47.671368,10.412034
127.477,47.671341,10.411986,1.088211,1.137,47.671375,10.412028
127.577,47.671349,10.411982,1.091321,1.125,47.671383,10.412022
127.677,47.671352,10.411977,1.093841,1.125,47.671391,10.412016
127.777,47.67136,10.411972,1.095878,1.125,47.671391,10.412016
127.877,47.671368,10.411968,1.097524,1.125,47.671402,10.41201
127.977,47.671371,10.411963,1.098807,1.113,47.67141,10.412004
128.077,47.671379,10.411959,1.099753,1.107,47.671417,10.411998
128.177,47.671383,10.411954,1.10039,1.101,47.671417,10.411998
128.277,47.671391,10.411949,1.100746,1.101,47.671425,10.411991
128.377,47.671398,10.411944,1.100849,1.107,47.671432,10.411985
128.477,47.671402,10.41194,1.100725,1.107,47.67144,10.41198
128.577,47.67141,10.411935,1.100401,1.101,47.671448,10.411973
128.677,47.671413,10.41193,1.099909,1.095,47.671448,10.411973
128.777,47.671421,10.411926,1.099276,1.095,47.671455,10.411967
128.877,47.671429,10.411922,1.098526,1.095,47.671463,10.411962
128.977,47.671432,10.411917,1.097691,1.101,47.671471,10.411955
129.077,47.67144,10.411912,1.096792,1.101,47.671471,10.411955
129.177,47.671448,10.411907,1.095861,1.101,47.671482,10.411949
129.277,47.671452,10.411902,1.094927,1.101,47.67149,10.411942
129.377,47.671459,10.411898,1.094015,1.101,47.671497,10.411937
129.477,47.671463,10.411893,1.093153,1.101,47.671497,10.411937
129.577,47.671471,10.411888,1.092375,1.107,47.671505,10.411931
129.677,47.671478,10.411883,1.091702,1.107,47.671513,10.411924
129.777,47.671482,10.411879,1.091248,1.101,47.67152,10.411919
129.877,47.67149,10.411874,1.091733,1.101,47.671528,10.411912
129.977,47.671497,10.411869,1.093166,1.101,47.671535,10.411906
130.077,47.671501,10.411864,1.09538,1.101,47.671535,10.411906
130.177,47.671509,10.41186,1.098202,1.101,47.671543,10.4119
130.277,47.671513,10.411855,1.101457,1.101,47.671551,10.411894
130.377,47.67152,10.41185,1.104979,1.107,47.671562,10.411887
130.477,47.671528,10.411845,1.108586,1.107,47.671562,10.411887
130.577,47.671532,10.41184,1.112111,1.113,47.67157,10.411881
130.677,47.671539,10.411836,1.115378,1.113,47.671577,10.411875
130.777,47.671543,10.411831,1.118212,1.119,47.671577,10.411875
130.877,47.671551,10.411826,1.120443,1.125,47.671585,10.411868
130.977,47.671558,10.411821,1.121875,1.125,47.671593,10.411862
131.177,47.67157,10.411812,1.122826,1.119,47.671608,10.41185
131.377,47.671581,10.411802,1.126612,1.119,47.671616,10.411843
131.577,47.671593,10.411793,1.138467,1.113,47.671631,10.411831
131.777,47.671604,10.411783,1.153654,1.113,47.671638,10.411824
131.977,47.671619,10.411774,1.167891,1.107,47.671658,10.411812
132.177,47.671631,10.411764,1.180958,1.107,47.671665,10.411805
132.377,47.671642,10.411755,1.187021,1.113,47.67168,10.411793
132.577,47.671654,10.411744,1.180546,1.125,47.671688,10.411786
132.777,47.671669,10.411735,1.177233,1.137,47.671703,10.411774
132.977,47.67168,10.411725,1.180049,1.131,47.671719,10.41176
133.177,47.671692,10.411716,1.181357,1.137,47.671726,10.411755
133.377,47.671703,10.411706,1.18054,1.143,47.671741,10.411741
133.577,47.671715,10.411695,1.170114,1.155,47.671749,10.411735
133.777,47.67173,10.411686,1.158762,1.155,47.671768,10.411722
133.977,47.671741,10.411676,1.148487,1.149,47.671776,10.411716
134.177,47.671753,10.411666,1.136328,1.149,47.671791,10.411703
134.377,47.671764,10.411656,1.127017,1.149,47.671799,10.411696
134.577,47.671776,10.411646,1.122507,1.149,47.671814,10.411683
134.777,47.671787,10.411636,1.124179,1.155,47.671822,10.411676
134.977,47.671803,10.411627,1.124197,1.155,47.671837,10.411664
135.177,47.671814,10.411616,1.114055,1.155,47.671852,10.411651
135.377,47.671825,10.411607,1.106553,1.155,47.67186,10.411644
135.577,47.671837,10.411596,1.106613,1.161,47.671875,10.411631
135.777,47.671848,10.411587,1.107605,1.155,47.671883,10.411624
135.977,47.671864,10.411576,1.108316,1.155,47.671902,10.411612
136.177,47.671875,10.411567,1.107585,1.161,47.671909,10.411605
136.377,47.671886,10.411556,1.105306,1.167,47.671925,10.411592
136.577,47.671898,10.411546,1.102077,1.173,47.671932,10.411585
136.777,47.671909,10.411536,1.09849,1.173,47.671947,10.411572
136.977,47.671921,10.411526,1.09651,1.173,47.671955,10.411565
137.177,47.671936,10.411515,1.099887,1.167,47.67197,10.411551
137.377,47.671947,10.411506,1.102684,1.161,47.671986,10.411538
137.577,47.671959,10.411495,1.103147,1.161,47.671993,10.411531
137.777,47.67197,10.411485,1.103228,1.155,47.672009,10.411518
137.977,47.671982,10.411474,1.10328,1.161,47.672016,10.411511
138.177,47.671993,10.411465,1.103746,1.155,47.672031,10.411498
138.377,47.672005,10.411454,1.110202,1.155,47.672039,10.41149
138.577,47.67202,10.411444,1.109853,1.161,47.672054,10.411477
138.777,47.672031,10.411433,1.109289,1.161,47.672062,10.41147
138.977,47.672043,10.411423,1.108516,1.161,47.672081,10.411457
139.177,47.672054,10.411412,1.107535,1.167,47.672089,10.41145
139.377,47.672066,10.411402,1.106347,1.167,47.672104,10.411436
139.577,47.672077,10.411391,1.105044,1.167,47.672119,10.411423
139.777,47.672089,10.411381,1.104937,1.168,47.672127,10.411416
